date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2007-06-18,506.18,516.0,504.24,515.2,9662100.0,506.788,511.292,499.1143,-0.29,17.291,53.9556,69.813,68.1288,-18.9026,9.5424
2007-06-15,508.19,509.0,501.23,505.89,12335800.0,506.016,510.479,496.8703,-9.17,7.29,43.8114,53.4903,61.0806,-34.4764,7.4168
2007-06-14,505.38,505.88,501.7,502.84,9233100.0,507.936,509.9297,495.1238,-15.41,15.73,43.4833,45.4355,58.312,-39.5785,6.3964
2007-06-13,507.0872,508.54,498.69,505.24,14053900.0,510.38,509.4366,493.6123,-13.6,21.72,50.2592,51.2563,61.4659,-31.5056,10.3144
2007-06-12,508.71,511.67,503.17,504.77,12826100.0,512.982,508.7726,491.2503,-2.3,30.44,50.271,50.2155,61.0881,-31.4517,9.3096
2007-06-11,514.02,518.25,510.0,511.34,9286100.0,515.796,507.0066,489.1008,10.943,37.37,52.3063,66.8424,69.8655,-21.9424,9.5556
2007-06-08,516.2,519.64,509.46,515.49,12703600.0,514.942,504.2246,486.8708,17.581,39.63,50.7646,80.9516,76.2055,-15.9357,11.7061
2007-06-07,519.75,526.5,512.51,515.06,21239700.0,511.9234,500.1086,484.1698,16.46,44.46,54.9422,80.598,75.9986,-16.5581,9.7624
2007-06-06,516.75,520.78,515.26,518.25,15757600.0,508.4932,495.9996,481.8793,31.14,47.93,59.0553,91.0472,80.7742,-3.9924,11.0195
2007-06-05,509.75,519.0,506.61,518.84,20873300.0,504.5632,491.7606,479.3073,35.32,47.88,62.5193,92.9036,81.644,-0.2598,11.0364
2007-06-04,497.91,510.51,497.59,507.07,14187700.0,498.2172,486.9366,476.7288,32.74,34.46,55.7046,89.2648,77.1431,-6.4783,7.6308
2007-06-01,501.0,505.02,497.93,500.397,9588400.0,493.5072,483.2616,474.9313,26.427,42.397,48.4863,85.8326,73.8051,-16.3189,5.7408
2007-05-31,500.56,508.78,497.06,497.909,17830700.0,488.2938,480.3179,473.573,22.049,36.129,50.9398,84.27,72.429,-21.1622,6.8979
2007-05-30,484.5,498.84,483.0,498.6,14477100.0,483.506,477.788,471.9665,28.0,31.86,53.6611,86.4775,73.4108,-0.5793,6.3113
2007-05-29,485.0,491.8,484.0,487.11,10425500.0,478.958,473.728,470.4865,16.79,25.64,43.9336,78.7721,66.4858,-13.6377,3.337
2007-05-25,479.7,484.95,477.27,483.52,10686300.0,475.656,471.195,469.7,12.56,14.27,42.4363,75.0739,63.7843,-5.1924,0.9415
2007-05-24,475.15,479.2,471.5,474.33,8338800.0,473.016,469.517,469.4745,1.72,7.52,43.799,60.3314,55.3363,-34.9238,-1.4236
2007-05-23,480.8206,483.4103,473.75,473.97,10110200.0,472.342,468.231,469.817,15.97,6.7,43.4923,59.5504,54.959,-38.7574,-0.841
2007-05-22,473.0,479.01,473.0,475.86,7670300.0,472.07,467.759,470.018,14.08,4.74,48.5154,65.1631,57.2879,-31.7678,-0.3497
2007-05-21,469.53,479.2,466.72,470.6,12306200.0,468.498,466.854,470.1015,3.86,-2.63,49.3175,55.418,52.1108,-51.2204,-1.7701
2007-05-18,472.03,472.7,469.75,470.32,7384400.0,466.734,466.521,470.5255,8.85,4.54,48.5677,54.8578,51.8259,-53.2077,-2.5203
2007-05-17,472.46,475.22,470.81,470.96,9311800.0,466.018,466.601,471.1335,1.71,1.96,49.9823,56.2029,52.4801,-61.385,-0.1463
2007-05-16,462.0,473.14,459.02,472.61,13095200.0,464.12,466.828,471.168,5.8,1.23,52.8449,59.3283,54.0939,-56.6828,-0.7143
2007-05-15,461.96,462.54,457.41,458.0,8229700.0,463.448,466.145,471.338,-9.27,-21.01,39.1593,31.0267,38.8258,-98.3186,-3.1303
2007-05-14,465.48,467.51,460.0,461.78,7737600.0,465.21,467.245,472.078,-9.34,-19.4,43.4077,36.5033,42.1506,-94.5231,-2.6335
2007-05-11,461.83,467.0,461.0,466.74,5882300.0,466.308,468.205,472.7025,-6.49,-11.25,50.8561,45.234,46.9908,-81.7778,0.0965
2007-05-10,467.04,469.49,461.02,461.47,7365200.0,467.184,469.432,472.68,-4.31,-16.06,43.1321,30.5202,40.3157,-98.5705,-1.2666
2007-05-09,466.15,471.73,463.88,469.25,7772000.0,469.536,471.403,472.976,0.25,-9.83,49.7649,45.5882,48.597,-76.8341,1.0161
2007-05-08,466.13,468.17,464.73,466.81,5804300.0,468.842,472.277,472.74,-4.57,-15.67,41.1519,37.5272,45.371,-84.8976,0.0665
2007-05-07,472.14,472.82,466.47,467.27,6034100.0,469.28,473.349,472.7245,-11.74,-4.38,39.6694,38.4215,45.8685,-83.3774,-0.2008
2007-05-04,470.12,474.84,465.88,471.12,7892100.0,470.102,474.53,472.7715,-10.06,-4.89,43.2463,46.0799,50.0814,-70.6543,-0.0827
2007-05-03,466.22,474.07,465.29,473.23,7181200.0,471.68,475.666,472.791,-4.76,0.43,41.9427,50.6949,52.5042,-63.6814,0.4692
2007-05-02,468.65,471.08,465.73,465.78,6119200.0,473.27,475.508,472.6805,-11.75,-8.49,35.5481,30.0954,43.6872,-88.3014,-1.4431
2007-05-01,472.19,472.81,464.17,469.0,7309000.0,475.712,476.531,473.0215,-10.08,2.71,37.6704,35.4264,47.1554,-77.6603,2.2834
2007-04-30,479.15,481.35,471.38,471.38,7275100.0,477.418,476.911,472.498,-11.1,3.99,39.6667,39.765,49.836,-52.3031,2.8855
2007-04-27,480.07,482.4,478.33,479.01,5845500.0,478.958,477.2,471.837,7.36,14.48,41.9711,59.1025,59.8309,-33.4076,3.9248
2007-04-26,478.1,484.45,477.11,481.18,8241500.0,479.652,475.928,470.9325,5.17,14.68,45.2924,66.8015,63.1318,-28.0337,4.1786
2007-04-25,480.0,481.37,476.11,477.99,7925600.0,477.746,474.549,469.9675,5.19,9.78,43.5211,60.4977,60.1707,-35.9336,3.0995
2007-04-24,478.61,479.98,475.55,477.53,7382000.0,477.35,473.203,469.249,3.26,6.02,46.8632,59.5753,59.7433,-37.0728,2.6946
2007-04-23,480.1,485.0,478.26,479.08,11337800.0,476.404,472.1,468.6225,12.79,8.06,49.2064,63.7556,61.7913,-33.2343,3.7351
2007-04-20,490.52,492.5,482.02,482.48,24298600.0,475.442,471.013,467.76,15.09,9.88,54.2503,73.1364,66.3657,-24.8143,4.4239
2007-04-19,474.5,481.95,469.59,471.65,21997100.0,472.204,469.916,466.738,7.12,13.12,52.5009,55.9207,57.0905,-34.529,3.3074
2007-04-18,471.26,479.9,469.53,476.01,11329600.0,471.352,469.853,465.983,9.51,17.85,57.0046,71.2365,63.5588,-11.2152,6.9013
2007-04-17,473.8,476.39,471.6,472.8,6413700.0,469.056,469.512,464.4465,4.59,11.88,53.3007,65.4269,60.5416,-12.5487,5.7174
2007-04-16,468.4566,476.99,468.15,474.27,10145600.0,467.796,468.085,463.168,2.76,12.39,56.1271,70.8911,62.7216,-7.4807,7.5808
2007-04-13,468.45,468.77,463.36,466.29,5584000.0,466.584,466.474,461.497,-4.73,2.67,53.0106,53.2155,54.584,-23.1665,4.5048
2007-04-12,464.0,468.0,462.24,467.39,5410300.0,467.628,465.937,460.492,-5.21,2.39,60.9634,57.2057,56.1323,-19.9651,4.3281
2007-04-11,466.06,469.4,462.61,464.53,7616300.0,468.354,465.386,459.5225,6.0,2.7,62.0557,48.9047,52.9517,-27.5745,4.8529
2007-04-10,467.09,470.79,465.16,466.5,5952600.0,469.968,465.295,458.4475,8.34,4.46,63.7548,55.0321,55.4922,-21.9858,2.5838
2007-04-09,472.98,473.0,465.59,468.21,6118000.0,468.374,465.145,457.86,7.29,11.66,65.6486,60.5169,57.6946,-17.1348,3.3667
2007-04-05,471.3,472.09,469.62,471.51,5426100.0,466.364,464.507,457.0975,9.63,26.23,66.7555,72.0678,62.0513,-7.773,3.6924
2007-04-04,472.14,473.0,469.58,471.02,7550000.0,464.246,463.56,456.258,7.4,23.79,65.142,71.3921,61.6572,-9.1631,3.3755
2007-04-03,464.05,474.25,464.0,472.6,12990500.0,462.418,462.113,455.489,7.6,31.75,68.7035,76.355,63.6097,-4.6809,3.2893
2007-04-02,457.76,458.53,452.12,458.53,6890100.0,460.622,459.381,454.7365,-3.3,12.34,65.036,51.1595,50.9234,-27.6667,3.988
2007-03-30,462.1,463.4,456.14,458.16,6753600.0,461.916,458.251,453.8572,-3.88,10.16,63.4332,49.9917,50.5075,-27.0345,4.4406
2007-03-29,464.55,466.0,455.0,460.92,7969000.0,462.65,456.52,452.8832,4.37,17.89,71.087,58.719,53.6144,-17.5172,2.8311
2007-03-28,461.87,465.44,460.15,461.88,9174000.0,462.874,455.047,452.2487,16.6,7.13,72.4116,61.8486,54.687,-12.7018,2.7656
2007-03-27,463.55,465.23,460.34,463.62,7474900.0,461.808,453.659,451.6273,16.39,10.66,74.0209,67.2634,56.5673,-6.5965,3.309
2007-03-26,460.55,465.0,455.62,465.0,9411100.0,458.14,451.6,450.8847,24.15,10.28,68.8921,71.3946,58.0175,-1.7544,0.0151
2007-03-23,461.45,463.39,457.08,461.83,8214300.0,454.586,450.575,450.8813,15.64,6.19,64.3673,67.5834,55.6218,-35.085,-1.8677
2007-03-22,455.61,462.17,452.53,462.04,11350000.0,450.39,449.688,451.3208,14.04,4.49,65.7115,68.0842,55.8152,-37.3217,-2.9022
2007-03-21,445.3,456.57,445.215,456.55,11585000.0,447.22,448.956,452.0113,13.52,15.605,52.0395,61.9405,51.7986,-58.6156,-4.0579
2007-03-20,445.79,447.6,443.6,445.28,6836100.0,445.51,448.865,452.9768,-9.47,6.6,46.8237,43.2538,41.8519,-82.4725,-5.681
2007-03-19,443.25,448.5,440.63,447.23,10385000.0,445.06,450.092,454.3178,-5.73,-1.0,46.186,46.5492,43.268,-78.3446,-4.8325
2007-03-16,445.65,446.7,439.89,440.85,11306800.0,446.564,449.4635,455.4533,-13.87,-8.6,36.6978,32.535,36.8604,-91.8501,-4.4683
2007-03-15,447.86,449.822,443.94,446.19,7880500.0,448.986,449.2465,456.4843,-9.45,-2.58,35.9097,39.8164,40.3576,-80.5461,-4.2367
2007-03-14,443.23,448.66,439.0,448.0,16017700.0,450.692,449.4505,457.4713,-9.55,-16.93,43.9825,42.5033,41.5835,-76.7146,-2.4178
2007-03-13,450.11,451.93,442.83,443.03,12741800.0,452.22,449.5955,458.0263,2.085,-27.59,38.1949,32.0039,36.7476,-87.2354,-3.3298
2007-03-12,452.57,455.25,451.11,454.75,6923800.0,455.124,450.1695,458.7893,16.07,-21.1,40.6002,49.9163,44.7567,-62.4259,-1.5458
2007-03-09,458.0,458.4,450.1,452.96,9945400.0,452.363,451.1875,459.1463,4.73,-22.9,41.7595,46.0749,43.018,-66.2151,-3.8363
2007-03-08,459.22,465.5,454.1,454.72,10714800.0,449.507,452.9535,460.0498,5.27,-17.38,44.5343,49.1646,44.2739,-62.4894,-3.2531
2007-03-07,462.69,463.14,454.29,455.64,13055100.0,448.209,455.0665,460.8143,6.87,-14.3,44.1646,50.644,44.902,-60.5419,-3.3596
2007-03-06,447.47,459.0,447.38,457.55,15052300.0,446.971,457.0885,461.6063,-7.38,-3.92,44.0922,53.4252,46.1481,-56.4987,-2.0571
2007-03-05,437.02,445.5,437.0,440.945,12697400.0,445.215,458.5435,462.0868,-29.675,-24.985,35.2949,22.6513,30.8573,-91.649,-8.4226
2007-03-02,445.11,448.7,438.68,438.68,13154000.0,450.012,461.443,464.1145,-37.17,-20.42,33.1378,16.3702,28.3121,-100.0,-8.9403
2007-03-01,442.67,452.42,440.0,448.23,17353000.0,456.4,463.722,466.268,-27.63,-10.06,38.6193,22.9058,33.0082,-87.5322,-10.6221
2007-02-28,450.41,453.67,443.04,449.45,16048500.0,461.924,465.492,468.9315,-22.65,-12.44,38.9252,23.9226,33.6621,-89.8205,-9.0771
2007-02-27,455.0,459.8,447.17,448.77,18606900.0,467.206,466.457,471.175,-21.17,-22.26,40.0705,22.321,32.9838,-97.2808,-8.8736
2007-02-26,472.83,475.25,463.75,464.93,7931800.0,471.872,467.409,473.36,3.46,-5.08,45.762,38.2803,42.4354,-80.5648,-6.2339
2007-02-23,475.75,476.95,467.8,470.62,7757400.0,472.874,467.105,474.9055,4.69,-0.86,51.1702,48.4433,46.7601,-69.4058,-3.5793
2007-02-22,478.69,484.24,474.39,475.85,11476300.0,471.044,467.146,475.779,16.75,8.69,52.8734,60.8092,51.1524,-59.1489,-4.6527
2007-02-21,469.84,478.68,467.74,475.86,11269900.0,469.06,466.562,476.94,17.57,-5.64,54.939,60.8339,51.1608,-59.1292,-0.6659
2007-02-20,468.47,472.75,464.71,472.1,8127000.0,465.708,466.124,477.0995,10.21,-9.65,46.6985,55.1108,48.2222,-66.5032,-1.8177
2007-02-16,462.8,470.15,462.06,469.94,12341600.0,462.946,465.63,477.5365,-1.09,-31.56,43.9398,51.7344,46.5279,-70.7394,-4.0449
2007-02-15,466.0,466.13,460.72,461.47,8076700.0,461.336,466.786,478.527,-8.54,-32.85,36.1298,36.0057,39.4002,-87.3505,-5.4035
2007-02-14,460.0,469.13,459.22,465.93,11386200.0,463.248,468.814,479.845,-5.55,-26.54,41.2383,42.0135,42.1096,-78.6036,-6.3043
2007-02-13,459.155,462.78,457.26,459.1,8117000.0,464.064,472.371,481.4125,-8.06,-36.74,32.2459,26.3257,35.9243,-92.2654,-8.9593
2007-02-12,460.68,462.39,455.02,458.29,11497400.0,466.54,475.893,483.6715,-23.21,-29.8,35.9245,24.3017,35.1713,-94.3601,-9.2495
2007-02-09,471.65,472.68,461.5,461.89,9707400.0,468.314,479.311,486.007,-19.86,-37.18,29.3529,27.0544,36.9399,-99.2427,-7.5702
2007-02-08,468.05,473.75,465.15,471.03,8145200.0,472.236,482.706,487.8985,-30.47,-8.02,34.6458,35.5819,41.8359,-87.7116,-3.7654
2007-02-07,473.82,474.35,468.78,470.01,8231300.0,474.38,484.412,488.82,-24.31,-10.83,32.9546,33.6366,41.0365,-91.8394,-3.1905
2007-02-06,468.1,473.3,467.26,471.48,10633100.0,480.678,487.318,489.5945,-20.99,-18.27,32.6318,34.9024,41.7954,-88.699,-2.5022
2007-02-05,477.5,478.0,466.19,467.16,14399300.0,485.246,488.075,490.1995,-28.68,-20.67,34.0795,28.294,38.7436,-97.9278,-4.1113
2007-02-02,482.61,485.0,477.81,481.5,12560400.0,490.308,489.443,491.201,-6.59,-15.78,34.8423,39.3415,46.0982,-88.2106,-0.3642
2007-02-01,506.0,506.01,481.53,481.75,31286000.0,493.176,490.268,491.289,-17.32,-22.53,41.9562,39.566,46.2385,-69.9888,3.0283
2007-01-31,496.49,505.0,495.51,501.5,24387700.0,494.444,490.876,490.581,22.45,-3.5,51.6325,63.3638,59.3071,-22.1623,8.9081
2007-01-30,494.0,498.0,491.22,494.32,8352600.0,493.958,490.454,488.53,13.48,-5.4,46.6537,55.2006,55.0758,-35.1524,6.8661
